2025/08/07 22:09:25 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:09:25 main.go:43: http://localhost:8080
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 72.848µs | Statuscode: 200 | Antwortgröße: 1736 Bytes
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 53.048µs | Statuscode: 200 | Antwortgröße: 1382 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/js/pricing.js | RemoteAddr: [::1]:38688
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 95.787µs | Statuscode: 200 | Antwortgröße: 725 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/js/routes.js | RemoteAddr: [::1]:38694
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 230.842µs | Statuscode: 200 | Antwortgröße: 173 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/js/user.js | RemoteAddr: [::1]:38702
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 270.371µs | Statuscode: 200 | Antwortgröße: 1941 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /app/routes | RemoteAddr: [::1]:38702
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /app/me | RemoteAddr: [::1]:38694
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 48.958µs | Statuscode: 401 | Antwortgröße: 18 Bytes
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 645.009µs | Statuscode: 200 | Antwortgröße: 421 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/favicon.ico | RemoteAddr: [::1]:38702
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 161.545µs | Statuscode: 200 | Antwortgröße: 54750 Bytes
2025/08/07 22:15:11 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:15:11 main.go:43: http://localhost:8080
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: / | RemoteAddr: [::1]:57608
2025/08/07 22:15:13 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:15:13 CEST | Dauer: 2.556598ms | Statuscode: 200 | Antwortgröße: 3757 Bytes
2025/08/07 22:15:13 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:15:13 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:57608
